arr_num,arr_insee,arr_libelle,nom_etablissement
11,75111,11ème Ardt,VOLTAIRE (8) ELEM
7,75107,7ème Ardt,CHOMEL (8) POLY
20,75120,20ème Ardt,OLIVIER METRA (24) ELEM A
4,75104,4ème Ardt,FAUCONNIER (4) POLY
16,75116,16ème Ardt,PAUL VALERY (18) POLY
10,75110,10ème Ardt,FAUBOURG ST DENIS (34) ELEM
17,75117,17ème Ardt,BERTHIER (112) ELEM
9,75109,9ème Ardt,CLICHY (10) ELEM
9,75109,9ème Ardt,BUFFAULT (34) POLY
18,75118,18ème Ardt,FOYATIER (1) ELEM
16,75116,16ème Ardt,HAMELIN (21) ELEM
19,75119,19ème Ardt,ALOUETTES (5) ELEM
11,75111,11ème Ardt,TROIS BORNES (39) ELEM
13,75113,13ème Ardt,BAUDRICOURT (53) ELEM A
13,75113,13ème Ardt,KUSS (8) POLY
14,75114,14ème Ardt,HIPPOLYTE MAINDRON (48) ELEM
18,75118,18ème Ardt,ORAN (18) ELEM
16,75116,16ème Ardt,GROS (18) POLY
19,75119,19ème Ardt,VILLETTE (61) ELEM
15,75115,15ème Ardt,LACORDAIRE (7) ELEM
4,75104,4ème Ardt,HOSPITAL. ST GERVAIS (10) POLY
13,75113,13ème Ardt,PRIMO LEVI (21) POLY
15,75115,15ème Ardt,ST LAMBERT (10) ELEM A
12,75112,12ème Ardt,DAUMESNIL (253 T) ELEM
11,75111,11ème Ardt,BELLEVILLE (77) ELEM A
19,75119,19ème Ardt,SIMON BOLIVAR (67) ELEM
4,75104,4ème Ardt,RENARD (16) ELEM
19,75119,19ème Ardt,MATHIS (14) ELEM
19,75119,19ème Ardt,EUGENIE COTTON (16) ELEM A
12,75112,12ème Ardt,GERTY ARCHIMEDE (5) ELEM
18,75118,18ème Ardt,CAVE (11) ELEM
2,75102,2ème Ardt,DUSSOUBS (42) POLY
20,75120,20ème Ardt,PIERRE FONCIN (4) POLY B
13,75113,13ème Ardt,CHOISY (103) ELEM
16,75116,16ème Ardt,BOILEAU (17-23) ELEM
13,75113,13ème Ardt,GRANDS MOULINS (47) POLY
20,75120,20ème Ardt,TOURTILLE (38) ELEM
5,75105,5ème Ardt,PONTOISE (21) ELEM
13,75113,13ème Ardt,44 ENFANTS D'IZIEU (2) POLY
14,75114,14ème Ardt,JEAN ZAY (18) ELEM
10,75110,10ème Ardt,RECOLLETS (19) ELEM
13,75113,13ème Ardt,PROVIDENCE (7) ELEM B
17,75117,17ème Ardt,TRUFFAUT (15) POLY
10,75110,10ème Ardt,MARTEL (9) ELEM
13,75113,13ème Ardt,LOUISE BOURGEOIS(19) POLY
12,75112,12ème Ardt,WATTIGNIES (52) ELEM
16,75116,16ème Ardt,MUSSET (20) ELEM
13,75113,13ème Ardt,JENNER (46) ELEM B
15,75115,15ème Ardt,ST LAMBERT (12) ELEM B
19,75119,19ème Ardt,EUGENIE COTTON (16) ELEM B
18,75118,18ème Ardt,PIERRE BUDIN (5) ELEM
14,75114,14ème Ardt,ALESIA (3) ELEM
2,75102,2ème Ardt,JUSSIENNE (3) ELEM
7,75107,7ème Ardt,EBLE (14) ELEM
15,75115,15ème Ardt,CONVENTION (78) POLY
13,75113,13ème Ardt,JEANNE D ARC (33) ELEM A
9,75109,9ème Ardt,TOUR D'AUVERGNE (45) ELEM
17,75117,17ème Ardt,BERNARD BUFFET (14) POLY
14,75114,14ème Ardt,BOULARD (46) ELEM - AGNÈS VARDA
18,75118,18ème Ardt,MONT CENIS (26) ELEM
20,75120,20ème Ardt,BELLEVILLE (236) ELEM
16,75116,16ème Ardt,ST DIDIER (15B) POLY
18,75118,18ème Ardt,POISSONNIERS (142) POLY
20,75120,20ème Ardt,RIBLETTE (16) ELEM A
18,75118,18ème Ardt,JEAN FRANCOIS LEPINE (6) ELEM
5,75105,5ème Ardt,ST JACQUES (28) ELEM
18,75118,18ème Ardt,GUADELOUPE (2) ELEM
5,75105,5ème Ardt,CARDINAL LEMOINE (24) ELEM
20,75120,20ème Ardt,OLIVIER METRA (32-34) POLY
13,75113,13ème Ardt,PORTE D'IVRY (51) ELEM
4,75104,4ème Ardt,FAUCONNIER (4) POLY - RAPHAËL ESRAIL
18,75118,18ème Ardt,JOSEPH DE MAISTRE (29) ELEM
7,75107,7ème Ardt,RAPP (28) POLY
19,75119,19ème Ardt,COLETTE MAGNY (17) ELEM
18,75118,18ème Ardt,DOUDEAUVILLE (7) ELEM
17,75117,17ème Ardt,M. ROSTROPOVITCH (34) ELE
14,75114,14ème Ardt,MAURICE D'OCAGNE (7) ELEM
18,75118,18ème Ardt,VAUVENARGUES (50) ELEM
20,75120,20ème Ardt,ALQUIER DEBROUSSE (12) POLY
17,75117,17ème Ardt,CHAMPERRET (7) ELEM
20,75120,20ème Ardt,ETIENNE DOLET (31) ELEM
13,75113,13ème Ardt,VANDREZANNE (38) ELEM
5,75105,5ème Ardt,PIERRE BROSSOLETTE (2) ELEM
19,75119,19ème Ardt,MANIN (30) ELEM B
20,75120,20ème Ardt,PLANCHAT (54) ELEM
19,75119,19ème Ardt,TANDOU (16) POLY
13,75113,13ème Ardt,ARAGO (30) ELEM
10,75110,10ème Ardt,VICQ D'AZIR (16) POLY
20,75120,20ème Ardt,BELLEVILLE (104) ELEM
19,75119,19ème Ardt,JEAN JAURES (160) ELEM
11,75111,11ème Ardt,ST BERNARD (31) ELEM
13,75113,13ème Ardt,JENNER (40) ELEM A
14,75114,14ème Ardt,SIBELLE (13) POLY
18,75118,18ème Ardt,CHAMPIONNET (113) POLY
17,75117,17ème Ardt,LAUGIER (16) ELEM
18,75118,18ème Ardt,ST ISAURE (18) ELEM
14,75114,14ème Ardt,PIERRE LAROUSSE (28) ELEM
8,75108,8ème Ardt,SURENE (18) ELEM
17,75117,17ème Ardt,REIMS (38-40) POLY
16,75116,16ème Ardt,MICHEL ANGE (51) ELEM
10,75110,10ème Ardt,BELZUNCE (3) POLY
10,75110,10ème Ardt,MARSEILLE (17) ELEM
12,75112,12ème Ardt,DIDEROT (40) ELEM
17,75117,17ème Ardt,BOURSAULT (10) POLY
2,75102,2ème Ardt,LOUVOIS (6) ELEM
15,75115,15ème Ardt,SAIDA (20) ELEM
20,75120,20ème Ardt,LESSEPS (11) ELEM A
20,75120,20ème Ardt,PLAINE (9) ELEM B
3,75103,3ème Ardt,ST MARTIN (211) POLY
16,75116,16ème Ardt,PARC DES PRINCES (23) ELEM
12,75112,12ème Ardt,CHARENTON (51) ELEM
13,75113,13ème Ardt,IVRY (47) ELEM B
7,75107,7ème Ardt,LAS CASES (27) POLY
20,75120,20ème Ardt,GAMBETTA (103) ELEM
18,75118,18ème Ardt,FOREST (14) POLY
20,75120,20ème Ardt,PYRENEES (293) ELEM A
19,75119,19ème Ardt,MANIN (40B) ELEM
20,75120,20ème Ardt,RIBLETTE (14) ELEM B
15,75115,15ème Ardt,ROUELLE (25) ELEM
12,75112,12ème Ardt,BIGNON (4) ELEM
15,75115,15ème Ardt,FONDARY (12) ELEM
20,75120,20ème Ardt,MARYSE HILSZ (20) ELEM
8,75108,8ème Ardt,LOUIS DE FUNES (2) POLY
18,75118,18ème Ardt,CHAMPIONNET (69) ELEM
11,75111,11ème Ardt,PIHET (1) ELEM
18,75118,18ème Ardt,MAURICE GENEVOIX (3) POLY
16,75116,16ème Ardt,MURAT (162) ELEM
6,75106,6ème Ardt,LITTRE (6) ELEM
13,75113,13ème Ardt,PIERRE GOURDAULT (11) ELEM
4,75104,4ème Ardt,POULLETIER (18) POLY
20,75120,20ème Ardt,BRETONNEAU (9) ELEM
11,75111,11ème Ardt,BOUVINES (4) ELEM
12,75112,12ème Ardt,REUILLY (57) ELEM B
18,75118,18ème Ardt,RICHOMME (9) ELEM
5,75105,5ème Ardt,ARBALETE (41) ELEM
20,75120,20ème Ardt,MOURAUD (5) ELEM
13,75113,13ème Ardt,GENERAL JEAN SIMON (31) POLY
20,75120,20ème Ardt,LE VAU (10) POLY
12,75112,12ème Ardt,BRECHE AUX LOUPS (18) ELEM
20,75120,20ème Ardt,PYRENEES (40) ELEM
13,75113,13ème Ardt,EMILE LEVASSOR (3) ELEM
12,75112,12ème Ardt,PICPUS (56) ELEM A
18,75118,18ème Ardt,GOUTTE D'OR (57) POLY
10,75110,10ème Ardt,LAFAYETTE (216 B) ELEM
20,75120,20ème Ardt,CLOS (18) ELEM
15,75115,15ème Ardt,DUPLEIX (21) ELEM
17,75117,17ème Ardt,SAUSSURE (101) ELEM
12,75112,12ème Ardt,REUILLY (57) ELEM A
15,75115,15ème Ardt,FELIX FAURE (146) ELEM
4,75104,4ème Ardt,MOUSSY (9) POLY
14,75114,14ème Ardt,PRISSE D'AVENNES (5) ELEM
12,75112,12ème Ardt,CHARLES BAUDELAIRE (8) ELEM
17,75117,17ème Ardt,AMPERE (18) ELEM
20,75120,20ème Ardt,AMANDIERS (103-111) ELEM
19,75119,19ème Ardt,MACDONALD (118) POLY
17,75117,17ème Ardt,JOUFFROY (20) ELEM
11,75111,11ème Ardt,REPUBLIQUE (98) ELEM
6,75106,6ème Ardt,JARDINET (7) ELEM
10,75110,10ème Ardt,CLAUDE VELLEFAUX (33) ELEM
11,75111,11ème Ardt,FROMENT (13) ELEM
4,75104,4ème Ardt,ST MERRI (11) POLY
13,75113,13ème Ardt,CHAT.DES RENTIERS (173) ELEM
19,75119,19ème Ardt,BARBANEGRE (7) ELEM A
12,75112,12ème Ardt,LAMORICIERE (10) ELEM A
13,75113,13ème Ardt,AUGUSTE PERRET (9) ELEM
15,75115,15ème Ardt,CORBON (3) ELEM
9,75109,9ème Ardt,CHAPTAL (12) POLY
19,75119,19ème Ardt,COLETTE MAGNY (15) ELEM
19,75119,19ème Ardt,TANGER (41) ELEM B
12,75112,12ème Ardt,POMMARD (4) ELEM
17,75117,17ème Ardt,LECOMTE (6) POLY
16,75116,16ème Ardt,LA FONTAINE (41B) ELEM
19,75119,19ème Ardt,TANDOU (9) ELEM
20,75120,20ème Ardt,LE VAU (20) ELEM A
13,75113,13ème Ardt,CHAT.DES RENTIERS (37) ELEM
3,75103,3ème Ardt,VAUCANSON (6) POLY
17,75117,17ème Ardt,GILBERT CESBRON (1) POLY
10,75110,10ème Ardt,PARMENTIER (159) ELEM - ANNETTE ZAIDMAN
17,75117,17ème Ardt,MARGUERITE LONG (5) POLY
18,75118,18ème Ardt,DAMREMONT (65) ELEM B
18,75118,18ème Ardt,PAJOL (11) POLY
1,75101,1er Ardt,ARGENTEUIL (11) ELEM
9,75109,9ème Ardt,BUFFAULT (32) ELEM
20,75120,20ème Ardt,PIAT (36) POLY
19,75119,19ème Ardt,RAMPAL (11) ELEM
6,75106,6ème Ardt,ST BENOIT (12) POLY
11,75111,11ème Ardt,KELLER (4) ELEM
5,75105,5ème Ardt,BOULANGERS (19) ELEM
1,75101,1er Ardt,ARBRE SEC (15) ELEM
12,75112,12ème Ardt,PICPUS (56) ELEM B
15,75115,15ème Ardt,GUTENBERG (50) ELEM
20,75120,20ème Ardt,PYRENEES (97) ELEM
19,75119,19ème Ardt,BARBANEGRE (7) ELEM B
13,75113,13ème Ardt,JEANNE D ARC (30) ELEM B
10,75110,10ème Ardt,EUGENE VARLIN (10) ELEM
19,75119,19ème Ardt,TANGER (41) ELEM A
10,75110,10ème Ardt,AQUEDUC (39) ELEM
9,75109,9ème Ardt,MILTON (5) POLY
15,75115,15ème Ardt,FRERES VOISIN (3) POLY
18,75118,18ème Ardt,CHARLES HERMITE (4) ELEM
18,75118,18ème Ardt,FRANCOISE DORLEAC  ELEM A
17,75117,17ème Ardt,BESSIERES (92) ELEM
9,75109,9ème Ardt,BRUXELLES (32) POLY
20,75120,20ème Ardt,CHAMPAGNE (17) POLY
19,75119,19ème Ardt,MACDONALD (141) POLY
3,75103,3ème Ardt,VERTUS (8) ELEM
14,75114,14ème Ardt,ALESIA (12) ELEM
16,75116,16ème Ardt,BAUCHES (15) ELEM
9,75109,9ème Ardt,MILTON (21) ELEM
13,75113,13ème Ardt,BALANCHINE (8-10) POLY
8,75108,8ème Ardt,PAUL BAUDRY (10) POLY
19,75119,19ème Ardt,HENRI NOGUERES (10) POLY
19,75119,19ème Ardt,FESSART (4) ELEM
18,75118,18ème Ardt,LEPIC (62) ELEM
15,75115,15ème Ardt,EMERIAU (10) ELEM
14,75114,14ème Ardt,ASSELINE (7) ELEM
11,75111,11ème Ardt,ALEXANDRE DUMAS (39) ELEM
18,75118,18ème Ardt,FERDINAND FLOCON (5) ELEM
3,75103,3ème Ardt,BERANGER (3) POLY
20,75120,20ème Ardt,TOURELLES (5/7) POLY
18,75118,18ème Ardt,SIMPLON (14) POLY
13,75113,13ème Ardt,GENERAL JEAN-SIMON (31) POLY
15,75115,15ème Ardt,MIOLLIS (33 BIS) ELEM
20,75120,20ème Ardt,SORBIER (15) ELEM
18,75118,18ème Ardt,GUSTAVE ROUANET (7) ELEM
15,75115,15ème Ardt,AMIRAL ROUSSIN (35) ELEM
2,75102,2ème Ardt,BEAUREGARD (5) POLY
18,75118,18ème Ardt,DAMREMONT (67) ELEM A
13,75113,13ème Ardt,BAUDRICOURT (55) ELEM B
11,75111,11ème Ardt,TITON (14) ELEM
14,75114,14ème Ardt,ALESIA (188) ELEM
10,75110,10ème Ardt,LOUIS BLANC (49b) ELEM
17,75117,17ème Ardt,COLONEL MOLL (16) ELEM
15,75115,15ème Ardt,CHERBOURG (15) ELEM
12,75112,12ème Ardt,MARSOULAN (19) ELEM
16,75116,16ème Ardt,LONGCHAMP (130) ELEM
14,75114,14ème Ardt,DELAMBRE (24) ELEM
11,75111,11ème Ardt,SERVAN (29) ELEM B
17,75117,17ème Ardt,LEMERCIER (105) ELEM
11,75111,11ème Ardt,REPUBLIQUE (100) ELEM
15,75115,15ème Ardt,PORTE BRANCION (5) ELEM
12,75112,12ème Ardt,CHARENTON (315) ELEM
19,75119,19ème Ardt,SIMON BOLIVAR (119) ELEM A
