arr_num,arr_insee,arr_libelle,nom_etablissement
11,75111,11ème Ardt,SOUZY (4-12) MAT
13,75113,13ème Ardt,PATAY (20) MAT
20,75120,20ème Ardt,FONTARABIE (12) MAT
15,75115,15ème Ardt,GUTENBERG (72) MAT
14,75114,14ème Ardt,ALESIA (190) MAT
15,75115,15ème Ardt,CEPRE (13) MAT
9,75109,9ème Ardt,BRUXELLES (34) MAT
18,75118,18ème Ardt,PAUL ABADIE (1) MAT
18,75118,18ème Ardt,DEPARTEMENT (51) MAT
15,75115,15ème Ardt,VARET (9) MAT
15,75115,15ème Ardt,VIOLET (38) MAT
19,75119,19ème Ardt,ARCHEREAU (26) MAT
18,75118,18ème Ardt,CHAMPIONNET (72) MAT
17,75117,17ème Ardt,SAUSSURE (48) MAT
14,75114,14ème Ardt,ALESIA (3B) MAT
11,75111,11ème Ardt,VOLTAIRE (6) MAT
14,75114,14ème Ardt,ANTOINE CHANTIN (15) MAT
16,75116,16ème Ardt,GUSTAVE ZEDE (5) MAT
18,75118,18ème Ardt,MAURICE GENEVOIX (3) POLY
18,75118,18ème Ardt,CUGNOT (30) POLY
20,75120,20ème Ardt,PIERRE FONCIN (4) POLY B
4,75104,4ème Ardt,MOUSSY (9) POLY
7,75107,7ème Ardt,VANEAU (48) MAT
19,75119,19ème Ardt,RAMPAL (5-7) MAT
11,75111,11ème Ardt,SERVAN (54) MAT
15,75115,15ème Ardt,VOLONTAIRES (17) MAT
17,75117,17ème Ardt,CHRISTINE DE PISAN (24) MAT
20,75120,20ème Ardt,LE VAU (8) MAT
9,75109,9ème Ardt,MILTON (5) POLY
20,75120,20ème Ardt,AMANDIERS (90) MAT
20,75120,20ème Ardt,MENILMONTANT (10) MAT
14,75114,14ème Ardt,SEVERO (12) POLY
17,75117,17ème Ardt,EPINETTES (44) MAT
19,75119,19ème Ardt,BOIS (2) MAT
11,75111,11ème Ardt,TROIS BORNES (39) MAT
17,75117,17ème Ardt,BESSIERES (90) MAT
18,75118,18ème Ardt,GOUTTE D'OR (57) POLY
5,75105,5ème Ardt,MOUFFETARD (29) MAT
11,75111,11ème Ardt,EMILE LEPEU (44) MAT
20,75120,20ème Ardt,REUNION (91) MAT
11,75111,11ème Ardt,POPINCOURT (9) MAT
16,75116,16ème Ardt,LONGCHAMP (130) MAT
11,75111,11ème Ardt,MERLIN (14) MAT
14,75114,14ème Ardt,MAURICE D'OCAGNE (7) MAT
9,75109,9ème Ardt,ROCHECHOUART (68) MAT
16,75116,16ème Ardt,PARC DES PRINCES (27) MAT
15,75115,15ème Ardt,OLIVIER DE SERRES (34) MAT
18,75118,18ème Ardt,ORSEL (56) MAT
13,75113,13ème Ardt,BALANCHINE (8-10) POLY
13,75113,13ème Ardt,PORTE D'IVRY (53) MAT
19,75119,19ème Ardt,TANDOU (22-28) MAT
20,75120,20ème Ardt,MOURAUD (9) MAT
17,75117,17ème Ardt,VILLIERS (22) MAT
20,75120,20ème Ardt,PLANCHAT (52) MAT
20,75120,20ème Ardt,CENDRIERS (20) MAT - JACQUELINE MANICOM
14,75114,14ème Ardt,SIBELLE (13) POLY
17,75117,17ème Ardt,DAUTANCOURT (16) MAT
7,75107,7ème Ardt,EBLE (14) MAT
16,75116,16ème Ardt,PASSY (25) MAT
15,75115,15ème Ardt,BALARD (95) MAT
17,75117,17ème Ardt,JOUFFROY (20) MAT
10,75110,10ème Ardt,HOPITAL ST LOUIS (18) MAT
20,75120,20ème Ardt,PELLEPORT (166) POLY
8,75108,8ème Ardt,MOSCOU (7) MAT
18,75118,18ème Ardt,TCHAIKOVSKI (7) MAT
18,75118,18ème Ardt,CLOYS (41) MAT
11,75111,11ème Ardt,GODEFROY CAVAIGNAC (31) MAT
18,75118,18ème Ardt,MARX DORMOY (53B) MAT
17,75117,17ème Ardt,COLONEL MOLL (16) MAT
13,75113,13ème Ardt,SIMONE WEIL (5) MAT
19,75119,19ème Ardt,CAMBRAI (5) MAT
19,75119,19ème Ardt,GENERAL BRUNET (9) MAT
19,75119,19ème Ardt,SIMON BOLIVAR (65) MAT
13,75113,13ème Ardt,STEPHEN PICHON (28) MAT
11,75111,11ème Ardt,PARMENTIER (11B) MAT
19,75119,19ème Ardt,HENRI NOGUERES (10) POLY
19,75119,19ème Ardt,LEPAGE (11) MAT
20,75120,20ème Ardt,PALIKAO (32) MAT
15,75115,15ème Ardt,JONGKIND (3) MAT
19,75119,19ème Ardt,SADI LECOINTE (8) MAT
4,75104,4ème Ardt,HOSPITAL. ST GERVAIS (10) POLY
4,75104,4ème Ardt,TOURNELLES (21) POLY
13,75113,13ème Ardt,LAHIRE (13) MAT
15,75115,15ème Ardt,CONVENTION (78) POLY
17,75117,17ème Ardt,GILBERT CESBRON (1) POLY
19,75119,19ème Ardt,THIONVILLE (6) MAT
20,75120,20ème Ardt,SURMELIN (18) MAT
20,75120,20ème Ardt,BRETONNEAU (12) MAT
17,75117,17ème Ardt,AMPERE (18) MAT
13,75113,13ème Ardt,CHAT.DES RENTIERS (103) MAT
13,75113,13ème Ardt,LONGUES RAIES (29) MAT
15,75115,15ème Ardt,FRANCOIS COPPEE (10) MAT
13,75113,13ème Ardt,GENERAL JEAN-SIMON (31) POLY
17,75117,17ème Ardt,RENAUDES (31) MAT
15,75115,15ème Ardt,EMERIAU (16) MAT
13,75113,13ème Ardt,DUNOIS (71) MAT
19,75119,19ème Ardt,BELLEVILLE (345) MAT
13,75113,13ème Ardt,JEANNE D'ARC (32) MAT
18,75118,18ème Ardt,EVA KOTCHEVER (4) POLY
13,75113,13ème Ardt,CROULEBARBE (11) MAT
3,75103,3ème Ardt,CHAPON (25) MAT
4,75104,4ème Ardt,POULLETIER (18) POLY
17,75117,17ème Ardt,CAPITAINE LAGACHE (21) MAT
19,75119,19ème Ardt,BARBANEGRE (8) MAT
16,75116,16ème Ardt,SERGE PROKOFIEV (18) MAT
20,75120,20ème Ardt,EUGENE REISZ (2) MAT
17,75117,17ème Ardt,LOUIS VIERNE (6) MAT
4,75104,4ème Ardt,FAUCONNIER (4) POLY - RAPHAËL ESRAIL
13,75113,13ème Ardt,KUSS (8) POLY
20,75120,20ème Ardt,TOURELLES (5/7) POLY
16,75116,16ème Ardt,GUSTAVE ZEDE (5) MAT - René LA COMBE
12,75112,12ème Ardt,D'ARTAGNAN (12) MAT
18,75118,18ème Ardt,EMILE DUPLOYE (27) MAT
13,75113,13ème Ardt,ESPERANCE (12) MAT
16,75116,16ème Ardt,DECAMPS (4) POLY
13,75113,13ème Ardt,CHOISY (4 B) MAT
15,75115,15ème Ardt,FEDERATION (18) MAT
10,75110,10ème Ardt,LEGOUVE (6) MAT
19,75119,19ème Ardt,EUGENIE COTTON (20) MAT
16,75116,16ème Ardt,ST DIDIER (15 B) POLY
8,75108,8ème Ardt,LOUIS DE FUNES (2) POLY
18,75118,18ème Ardt,FERNAND LABORI (19) POLY
6,75106,6ème Ardt,ST ANDRE DES ARTS (39) MAT
19,75119,19ème Ardt,TANGER (41) MAT
19,75119,19ème Ardt,NOYER DURAND (5) MAT
4,75104,4ème Ardt,ARCHIVES (40) MAT
4,75104,4ème Ardt,ST MERRI (11) POLY
9,75109,9ème Ardt,BUFFAULT (34) MAT
5,75105,5ème Ardt,POISSY (27) MAT
3,75103,3ème Ardt,PAUL DUBOIS (6) MAT
12,75112,12ème Ardt,BERCY (167) MAT
15,75115,15ème Ardt,ALLERAY (42) MAT
18,75118,18ème Ardt,CHRISTIANI (8) MAT
10,75110,10ème Ardt,BOY  ZELENSKI (5) MAT
3,75103,3ème Ardt,TURENNE (52) MAT
5,75105,5ème Ardt,BUFFON (15 B) MAT
1,75101,1er Ardt,ST GERMAIN L'AUXERROIS (6) MAT
10,75110,10ème Ardt,AQUEDUC (39) MAT
17,75117,17ème Ardt,TAPISSERIES (8) MAT
15,75115,15ème Ardt,ALLERAY (102) MAT
19,75119,19ème Ardt,EMILE BOLLAERT (53) POLY
19,75119,19ème Ardt,SEPTIEME ART (2-4) MAT
12,75112,12ème Ardt,LACHAMBEAUDIE (2) MAT
14,75114,14ème Ardt,DELAMBRE (24) MAT
19,75119,19ème Ardt,EIDERS (5) MAT
18,75118,18ème Ardt,RICHOMME (18) MAT
18,75118,18ème Ardt,GUSTAVE ROUANET (1) MAT
12,75112,12ème Ardt,PICPUS (56) MAT
12,75112,12ème Ardt,ELISA LEMONNIER (15) MAT
13,75113,13ème Ardt,POINTE D'IVRY (17-35) MAT
9,75109,9ème Ardt,BLANCHE (9 B) MAT
13,75113,13ème Ardt,RICAUT (8) MAT
14,75114,14ème Ardt,ALAIN-FOURNIER (7) MAT
15,75115,15ème Ardt,VAUGIRARD (149) MAT
8,75108,8ème Ardt,BIENFAISANCE (12) MAT
12,75112,12ème Ardt,CHARLES BAUDELAIRE (16) MAT
12,75112,12ème Ardt,REUILLY (59) MAT
19,75119,19ème Ardt,TANGER (15) MAT
14,75114,14ème Ardt,OUEST (69) POLY
16,75116,16ème Ardt,BELLES FEUILLES (3) POLY - FRANÇOIS JACOB
20,75120,20ème Ardt,CENDRIERS (20) MAT
17,75117,17ème Ardt,BERNARD BUFFET (14) POLY
9,75109,9ème Ardt,CLAUZEL (12) MAT
20,75120,20ème Ardt,LESSEPS (9) MAT
15,75115,15ème Ardt,SAIDA (20) MAT
18,75118,18ème Ardt,CONSTANTIN PECQUEUR (1) MAT
11,75111,11ème Ardt,ROQUETTE (144) MAT
7,75107,7ème Ardt,RAPP (28) POLY
18,75118,18ème Ardt,SIMPLON (14) POLY
15,75115,15ème Ardt,MIOLLIS (33 B) POLY
11,75111,11ème Ardt,BALEINE (5) MAT
9,75109,9ème Ardt,CLAUDE RODIER (30) MAT
7,75107,7ème Ardt,ST DOMINIQUE (117 B) MAT
9,75109,9ème Ardt,CHAPTAL (12) POLY
3,75103,3ème Ardt,PERLE (7) MAT
20,75120,20ème Ardt,GAMBETTA (29) MAT
10,75110,10ème Ardt,PARMENTIER (155) MAT
18,75118,18ème Ardt,FOREST (14) POLY
20,75120,20ème Ardt,TELEGRAPHE (29) MAT
10,75110,10ème Ardt,VICQ D'AZIR (16) POLY
13,75113,13ème Ardt,44 ENFANTS D'IZIEU (2) POLY
19,75119,19ème Ardt,FESSART (36) MAT
18,75118,18ème Ardt,JOSEPH DE MAISTRE (94) MAT
6,75106,6ème Ardt,MADAME (40) MAT
18,75118,18ème Ardt,LAMARCK (4) MAT
18,75118,18ème Ardt,ANDRE DEL SARTE (11) MAT
13,75113,13ème Ardt,DUNOIS (70-71) MAT
20,75120,20ème Ardt,PIAT (36) POLY
14,75114,14ème Ardt,MAURICE RIPOCHE (55-61) MAT
20,75120,20ème Ardt,OLIVIER METRA (29) MAT
12,75112,12ème Ardt,JEAN BOUTON (7) MAT
2,75102,2ème Ardt,DUSSOUBS (12) MAT
19,75119,19ème Ardt,GENERAL LASALLE (5) MAT
16,75116,16ème Ardt,BOISSIERE (56) POLY
16,75116,16ème Ardt,GROS (18) POLY
16,75116,16ème Ardt,ST DIDIER (15B) POLY
14,75114,14ème Ardt,OUEST (13) MAT
15,75115,15ème Ardt,FELIX FAURE (56) MAT
12,75112,12ème Ardt,MEUNIERS (40) MAT
17,75117,17ème Ardt,BOURSAULT (10) POLY
12,75112,12ème Ardt,PICPUS (45) MAT
14,75114,14ème Ardt,TOMBE ISSOIRE (77) MAT
12,75112,12ème Ardt,POMMARD (33) MAT
18,75118,18ème Ardt,FERDINAND FLOCON (3) MAT
11,75111,11ème Ardt,DURANTI (10 B) MAT
16,75116,16ème Ardt,PERCHAMPS (38) MAT
12,75112,12ème Ardt,CARNOT (16) MAT
12,75112,12ème Ardt,TRAVERSIERE (41) MAT
13,75113,13ème Ardt,L.M.NORDMANN (140) MAT
17,75117,17ème Ardt,PEREIRE (221) MAT
9,75109,9ème Ardt,BRUXELLES (32) POLY
10,75110,10ème Ardt,RECOLLETS (23) MAT
5,75105,5ème Ardt,MOUFFETARD (97) MAT
18,75118,18ème Ardt,MARCADET (29) MAT
17,75117,17ème Ardt,ANDRE BRECHET (21) MAT
11,75111,11ème Ardt,RICHARD LENOIR (13) MAT
11,75111,11ème Ardt,ST BERNARD (39) MAT
20,75120,20ème Ardt,GRANDS CHAMPS (22) MAT
2,75102,2ème Ardt,LOUVOIS (6) POLY
4,75104,4ème Ardt,HOSPITALIER ST GERVAIS (10) POLY
15,75115,15ème Ardt,FRERES VOISIN (3) POLY
9,75109,9ème Ardt,BUFFAULT (34) POLY - MADELEINE PAULIAC
18,75118,18ème Ardt,TORCY (10-12) MAT
19,75119,19ème Ardt,AUBERVILLIERS (132) MAT
15,75115,15ème Ardt,MORILLONS (40) MAT
18,75118,18ème Ardt,ST LUC (3) MAT
20,75120,20ème Ardt,TOURTILLE (39) MAT
4,75104,4ème Ardt,POULLETIER (18) MAT
6,75106,6ème Ardt,LITTRE (6) MAT
12,75112,12ème Ardt,JACQUES HILLAIRET (40) MAT
19,75119,19ème Ardt,TANDOU (16) POLY
2,75102,2ème Ardt,VIVIENNE (11) MAT
13,75113,13ème Ardt,LOUISE BOURGEOIS(19) POLY
18,75118,18ème Ardt,CHAMPIONNET (113) POLY
13,75113,13ème Ardt,G?N?RAL JEAN-SIMON (31) POLY
20,75120,20ème Ardt,MARAICHERS (31) MAT
20,75120,20ème Ardt,COURONNES (94) MAT
14,75114,14ème Ardt,HIPPOLYTE MAINDRON (48) MAT
18,75118,18ème Ardt,JEAN-BAPTISTE CLEMENT (4) MAT
13,75113,13ème Ardt,VANDREZANNE (40) POLY
11,75111,11ème Ardt,PARMENTIER (111) MAT
18,75118,18ème Ardt,MARX DORMOY (53 B) MAT
13,75113,13ème Ardt,GLACIERE (100) MAT
15,75115,15ème Ardt,GERBERT (6) MAT
15,75115,15ème Ardt,VAUGIRARD (149 B) MAT
5,75105,5ème Ardt,PONTOISE (21) POLY
5,75105,5ème Ardt,CUJAS (23) MAT
19,75119,19ème Ardt,PALESTINE (1) MAT
20,75120,20ème Ardt,OLIVIER METRA (32-34) POLY
20,75120,20ème Ardt,VITRUVE (68) MAT
18,75118,18ème Ardt,VAUVENARGUES (52) MAT
5,75105,5ème Ardt,VICTOR COUSIN (14) POLY
14,75114,14ème Ardt,ANTOINE CHANTIN (22) MAT
13,75113,13ème Ardt,BRILLAT SAVARIN (87) MAT
7,75107,7ème Ardt,CHOMEL (8) POLY
13,75113,13ème Ardt,VANDREZANNE (40) MAT
10,75110,10ème Ardt,BELZUNCE (3) POLY
19,75119,19ème Ardt,MAROC (34) MAT
20,75120,20ème Ardt,PIERRE FONCIN (2) MAT
13,75113,13ème Ardt,GRANDS MOULINS (47) POLY
13,75113,13ème Ardt,TOLBIAC (157) MAT
10,75110,10ème Ardt,BOY ZELENSKI (5) MAT
10,75110,10ème Ardt,PARADIS (20) MAT
10,75110,10ème Ardt,LANCRY (15) POLY
19,75119,19ème Ardt,ARMAND CARREL (47) MAT
16,75116,16ème Ardt,ERLANGER (58) MAT
18,75118,18ème Ardt,MONT CENIS (77) MAT
20,75120,20ème Ardt,TOURELLES (5-7) POLY
4,75104,4ème Ardt,HOSPITALIERES ST GERVAIS (10) POLY
13,75113,13ème Ardt,LOUISE BOURGEOIS (19) POLY
2,75102,2ème Ardt,ETIENNE MARCEL (20) POLY
18,75118,18ème Ardt,FRANCOISE DORLEAC (2) MAT
20,75120,20ème Ardt,ALQUIER DEBROUSSE (12) POLY
17,75117,17ème Ardt,MARGUERITE LONG (5) POLY
13,75113,13ème Ardt,L.M. NORDMANN (140) MAT
10,75110,10ème Ardt,MARTEL (9) MAT
13,75113,13ème Ardt,CHAT.DES RENTIERS (31) MAT
14,75114,14ème Ardt,ALESIA (3 B) MAT
14,75114,14ème Ardt,ALAIN FOURNIER (7) MAT
13,75113,13ème Ardt,CHOISY (4b) MAT
11,75111,11ème Ardt,PARMENTIER (11 B) MAT
16,75116,16ème Ardt,BELLES FEUILLES (3) POLY - FRANCOIS JACOB
7,75107,7ème Ardt,VERNEUIL (17) MAT
19,75119,19ème Ardt,ARCHEREAU (58) MAT
11,75111,11ème Ardt,PRESENTATION (4 B) MAT
19,75119,19ème Ardt,CAMBRAI (5 B) MAT
2,75102,2ème Ardt,BEAUREGARD (5) POLY - MARCELLE GUILLEMOT
7,75107,7ème Ardt,EBLE (14) POLY
13,75113,13ème Ardt,GENERAL JEAN SIMON (31) POLY
17,75117,17ème Ardt,M ROSTROPOVITCH (34) POLY
19,75119,19ème Ardt,MACDONALD (141) POLY - Cesária ÉVORA
13,75113,13ème Ardt,DUNOIS (70 OU 71) MAT
18,75118,18ème Ardt,DAMREMONT (65) POLY
19,75119,19ème Ardt,COLETTE MAGNY (21) MAT
19,75119,19ème Ardt,ROMAINVILLE (59 B) MAT
